Algorithm,NumEvaluations,Error,Time
NelderMead,100,2.64530835,0.0060
NelderMead,600,2.16329929,0.0164
CMAES,30,1.32937993,0.0035
CMAES,50,0.13460198,0.0050
CMAES,100,0.16030343,0.0110
CMAES,200,0.00075698,0.0237
CMAES,300,2.16348190,0.0523
CMAES,600,0.00000000,0.0520
HillClimber,100,2.30802174,0.0094
HillClimber,600,2.17304979,0.0487
GA,100,2.33292450,0.0057
GA,600,1.58109387,0.0197
OriginalNES,100,0.18183789,0.0095
OriginalNES,200,0.74958956,0.0340
OriginalNES,300,0.06272273,0.1065
OriginalNES,400,0.00483014,0.1907
OriginalNES,600,0.00212474,0.3540
ExactNES,100,0.92979982,0.0093
ExactNES,200,0.22375330,0.0196
ExactNES,300,0.08257233,0.1579
ExactNES,400,0.00176141,0.2206
ExactNES,600,0.00103959,0.4477
FEM,120,0.15365795,0.0044
FEM,200,0.81448378,0.0424
FEM,300,0.19818421,0.0909
FEM,400,0.01881984,0.1415
FEM,600,0.00214255,0.2524
COGP,10,2.48394847,0.1135
COGP,50,2.30217289,1.2263
COGP,100,2.16333077,4.2648
COGP,150,0.22360680,9.2265
