Algorithm,NumEvaluations,Error
NelderMead,100,2.6453
NelderMead,600,2.1633
CMAES,30,1.7079
CMAES,50,0.6147
CMAES,100,0.2843
CMAES,200,0.00698
CMAES,300,0.000637
CMAES,600,7.41e-10
HillClimber,100,2.1743
HillClimber,600,2.1495
GA,100,1.1815
GA,600,0.0702
OriginalNES,100,0.2396
OriginalNES,200,0.1974
OriginalNES,300,0.0343
OriginalNES,400,0.0249
OriginalNES,600,0.000663
ExactNES,100,0.0621
ExactNES,200,0.0478
ExactNES,300,0.0475
ExactNES,400,0.00967
ExactNES,600,0.000916
FEM,120,0.2823
FEM,200,0.0997
FEM,300,0.0202
FEM,400,0.0110
FEM,600,0.00216
